gameId,season,seasonLabel,seasonType,tournament,startDate,startTimeTbd,teamId,team,conference,teamSeed,opponentId,opponent,opponentConference,opponentSeed,neutralSite,isHome,conferenceGame,gameType,notes,gameMinutes,pace,teamStats,opponentStats
5901,2024,20232024,regular,,2023-11-06T16:00:00.000Z,False,831,Spalding,,,115,IU Indianapolis,Horizon,,False,False,False,STD,,40.0,69.0,"{'possessions': 69, 'assists': 10, 'steals': 6, 'blocks': 4, 'trueShooting': 48.7, 'rating': 91.3, 'gameScore': 34.3, 'points': {'total': 63, 'byPeriod': [25, 38], 'largestLead': 0, 'fastBreak': 13, 'inPaint': 34, 'offTurnovers': 19}, 'twoPointFieldGoals': {'made': 23, 'attempted': 49, 'pct': 46.9}, 'threePointFieldGoals': {'made': 2, 'attempted': 10, 'pct': 20}, 'freeThrows': {'made': 11, 'attempted': 13, 'pct': 84.6}, 'fieldGoals': {'made': 25, 'attempted': 59, 'pct': 42.4}, 'turnovers': {'total': 20, 'teamTotal': 0}, 'rebounds': {'offensive': 12, 'defensive': 20, 'total': 32}, 'fouls': {'total': 17, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 44.1, 'freeThrowRate': 22, 'turnoverRatio': 29, 'offensiveReboundPct': 37.5}}","{'possessions': 69, 'assists': 9, 'steals': 10, 'blocks': 1, 'trueShooting': 51.7, 'rating': 101.4, 'gameScore': 49.000000000000014, 'points': {'total': 70, 'byPeriod': [33, 37], 'largestLead': 17, 'fastBreak': 12, 'inPaint': 36, 'offTurnovers': 16}, 'twoPointFieldGoals': {'made': 22, 'attempted': 41, 'pct': 53.7}, 'threePointFieldGoals': {'made': 3, 'attempted': 17, 'pct': 17.6}, 'freeThrows': {'made': 17, 'attempted': 22, 'pct': 77.3}, 'fieldGoals': {'made': 25, 'attempted': 58, 'pct': 43.1}, 'turnovers': {'total': 13, 'teamTotal': 0}, 'rebounds': {'offensive': 11, 'defensive': 17, 'total': 28}, 'fouls': {'total': 13, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 45.7, 'freeThrowRate': 37.9, 'turnoverRatio': 18.8, 'offensiveReboundPct': 39.3}}"
5901,2024,20232024,regular,,2023-11-06T16:00:00.000Z,False,115,IU Indianapolis,Horizon,,831,Spalding,,,False,True,False,STD,,40.0,69.0,"{'possessions': 69, 'assists': 9, 'steals': 10, 'blocks': 1, 'trueShooting': 51.7, 'rating': 101.4, 'gameScore': 49.000000000000014, 'points': {'total': 70, 'byPeriod': [33, 37], 'largestLead': 17, 'fastBreak': 12, 'inPaint': 36, 'offTurnovers': 16}, 'twoPointFieldGoals': {'made': 22, 'attempted': 41, 'pct': 53.7}, 'threePointFieldGoals': {'made': 3, 'attempted': 17, 'pct': 17.6}, 'freeThrows': {'made': 17, 'attempted': 22, 'pct': 77.3}, 'fieldGoals': {'made': 25, 'attempted': 58, 'pct': 43.1}, 'turnovers': {'total': 13, 'teamTotal': 0}, 'rebounds': {'offensive': 11, 'defensive': 17, 'total': 28}, 'fouls': {'total': 13, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 45.7, 'freeThrowRate': 37.9, 'turnoverRatio': 18.8, 'offensiveReboundPct': 39.3}}","{'possessions': 69, 'assists': 10, 'steals': 6, 'blocks': 4, 'trueShooting': 48.7, 'rating': 91.3, 'gameScore': 34.3, 'points': {'total': 63, 'byPeriod': [25, 38], 'largestLead': 0, 'fastBreak': 13, 'inPaint': 34, 'offTurnovers': 19}, 'twoPointFieldGoals': {'made': 23, 'attempted': 49, 'pct': 46.9}, 'threePointFieldGoals': {'made': 2, 'attempted': 10, 'pct': 20}, 'freeThrows': {'made': 11, 'attempted': 13, 'pct': 84.6}, 'fieldGoals': {'made': 25, 'attempted': 59, 'pct': 42.4}, 'turnovers': {'total': 20, 'teamTotal': 0}, 'rebounds': {'offensive': 12, 'defensive': 20, 'total': 32}, 'fouls': {'total': 17, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 44.1, 'freeThrowRate': 22, 'turnoverRatio': 29, 'offensiveReboundPct': 37.5}}"
5902,2024,20232024,regular,,2023-11-06T16:30:00.000Z,False,110,Hofstra,CAA,,677,Saint Joseph's Long Island,,,False,True,False,STD,,40.0,71.0,"{'possessions': 71, 'assists': 28, 'steals': 8, 'blocks': 5, 'trueShooting': 64.5, 'rating': 142.3, 'gameScore': 101.5, 'points': {'total': 101, 'byPeriod': [44, 57], 'largestLead': 56, 'fastBreak': 13, 'inPaint': 36, 'offTurnovers': 28}, 'twoPointFieldGoals': {'made': 23, 'attempted': 35, 'pct': 65.7}, 'threePointFieldGoals': {'made': 18, 'attempted': 42, 'pct': 42.9}, 'freeThrows': {'made': 1, 'attempted': 3, 'pct': 33.3}, 'fieldGoals': {'made': 41, 'attempted': 77, 'pct': 53.2}, 'turnovers': {'total': 8, 'teamTotal': 0}, 'rebounds': {'offensive': 16, 'defensive': 31, 'total': 47}, 'fouls': {'total': 12, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 64.9, 'freeThrowRate': 3.9, 'turnoverRatio': 11.3, 'offensiveReboundPct': 34}}","{'possessions': 71, 'assists': 11, 'steals': 5, 'blocks': 1, 'trueShooting': 38.1, 'rating': 67.6, 'gameScore': 15.700000000000003, 'points': {'total': 48, 'byPeriod': [19, 29], 'largestLead': 1, 'fastBreak': 3, 'inPaint': 20, 'offTurnovers': 2}, 'twoPointFieldGoals': {'made': 15, 'attempted': 43, 'pct': 34.9}, 'threePointFieldGoals': {'made': 4, 'attempted': 16, 'pct': 25}, 'freeThrows': {'made': 6, 'attempted': 9, 'pct': 66.7}, 'fieldGoals': {'made': 19, 'attempted': 59, 'pct': 32.2}, 'turnovers': {'total': 18, 'teamTotal': 0}, 'rebounds': {'offensive': 7, 'defensive': 21, 'total': 28}, 'fouls': {'total': 10, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 35.6, 'freeThrowRate': 15.3, 'turnoverRatio': 25.4, 'offensiveReboundPct': 25}}"
5902,2024,20232024,regular,,2023-11-06T16:30:00.000Z,False,677,Saint Joseph's Long Island,,,110,Hofstra,CAA,,False,False,False,STD,,40.0,71.0,"{'possessions': 71, 'assists': 11, 'steals': 5, 'blocks': 1, 'trueShooting': 38.1, 'rating': 67.6, 'gameScore': 15.700000000000003, 'points': {'total': 48, 'byPeriod': [19, 29], 'largestLead': 1, 'fastBreak': 3, 'inPaint': 20, 'offTurnovers': 2}, 'twoPointFieldGoals': {'made': 15, 'attempted': 43, 'pct': 34.9}, 'threePointFieldGoals': {'made': 4, 'attempted': 16, 'pct': 25}, 'freeThrows': {'made': 6, 'attempted': 9, 'pct': 66.7}, 'fieldGoals': {'made': 19, 'attempted': 59, 'pct': 32.2}, 'turnovers': {'total': 18, 'teamTotal': 0}, 'rebounds': {'offensive': 7, 'defensive': 21, 'total': 28}, 'fouls': {'total': 10, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 35.6, 'freeThrowRate': 15.3, 'turnoverRatio': 25.4, 'offensiveReboundPct': 25}}","{'possessions': 71, 'assists': 28, 'steals': 8, 'blocks': 5, 'trueShooting': 64.5, 'rating': 142.3, 'gameScore': 101.5, 'points': {'total': 101, 'byPeriod': [44, 57], 'largestLead': 56, 'fastBreak': 13, 'inPaint': 36, 'offTurnovers': 28}, 'twoPointFieldGoals': {'made': 23, 'attempted': 35, 'pct': 65.7}, 'threePointFieldGoals': {'made': 18, 'attempted': 42, 'pct': 42.9}, 'freeThrows': {'made': 1, 'attempted': 3, 'pct': 33.3}, 'fieldGoals': {'made': 41, 'attempted': 77, 'pct': 53.2}, 'turnovers': {'total': 8, 'teamTotal': 0}, 'rebounds': {'offensive': 16, 'defensive': 31, 'total': 47}, 'fouls': {'total': 12, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 64.9, 'freeThrowRate': 3.9, 'turnoverRatio': 11.3, 'offensiveReboundPct': 34}}"
5903,2024,20232024,regular,,2023-11-06T17:00:00.000Z,False,797,Fort Lauderdale,,,302,Troy,Sun Belt,,False,False,False,STD,,40.0,72.5,"{'possessions': 72, 'assists': 4, 'steals': 8, 'blocks': 5, 'trueShooting': 38.2, 'rating': 65.3, 'gameScore': 10.299999999999994, 'points': {'total': 47, 'byPeriod': [18, 29], 'largestLead': 3, 'fastBreak': 10, 'inPaint': 18, 'offTurnovers': 8}, 'twoPointFieldGoals': {'made': 15, 'attempted': 40, 'pct': 37.5}, 'threePointFieldGoals': {'made': 1, 'attempted': 11, 'pct': 9.1}, 'freeThrows': {'made': 14, 'attempted': 24, 'pct': 58.3}, 'fieldGoals': {'made': 16, 'attempted': 51, 'pct': 31.4}, 'turnovers': {'total': 20, 'teamTotal': 1}, 'rebounds': {'offensive': 6, 'defensive': 23, 'total': 29}, 'fouls': {'total': 22, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 32.4, 'freeThrowRate': 47.1, 'turnoverRatio': 27.8, 'offensiveReboundPct': 20.7}}","{'possessions': 73, 'assists': 18, 'steals': 11, 'blocks': 4, 'trueShooting': 55.1, 'rating': 126, 'gameScore': 75.39999999999999, 'points': {'total': 92, 'byPeriod': [38, 54], 'largestLead': 51, 'fastBreak': 21, 'inPaint': 52, 'offTurnovers': 31}, 'twoPointFieldGoals': {'made': 26, 'attempted': 40, 'pct': 65}, 'threePointFieldGoals': {'made': 8, 'attempted': 33, 'pct': 24.2}, 'freeThrows': {'made': 16, 'attempted': 24, 'pct': 66.7}, 'fieldGoals': {'made': 34, 'attempted': 73, 'pct': 46.6}, 'turnovers': {'total': 13, 'teamTotal': 0}, 'rebounds': {'offensive': 16, 'defensive': 29, 'total': 45}, 'fouls': {'total': 23, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 52.1, 'freeThrowRate': 32.9, 'turnoverRatio': 17.8, 'offensiveReboundPct': 35.6}}"
5903,2024,20232024,regular,,2023-11-06T17:00:00.000Z,False,302,Troy,Sun Belt,,797,Fort Lauderdale,,,False,True,False,STD,,40.0,72.5,"{'possessions': 73, 'assists': 18, 'steals': 11, 'blocks': 4, 'trueShooting': 55.1, 'rating': 126, 'gameScore': 75.39999999999999, 'points': {'total': 92, 'byPeriod': [38, 54], 'largestLead': 51, 'fastBreak': 21, 'inPaint': 52, 'offTurnovers': 31}, 'twoPointFieldGoals': {'made': 26, 'attempted': 40, 'pct': 65}, 'threePointFieldGoals': {'made': 8, 'attempted': 33, 'pct': 24.2}, 'freeThrows': {'made': 16, 'attempted': 24, 'pct': 66.7}, 'fieldGoals': {'made': 34, 'attempted': 73, 'pct': 46.6}, 'turnovers': {'total': 13, 'teamTotal': 0}, 'rebounds': {'offensive': 16, 'defensive': 29, 'total': 45}, 'fouls': {'total': 23, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 52.1, 'freeThrowRate': 32.9, 'turnoverRatio': 17.8, 'offensiveReboundPct': 35.6}}","{'possessions': 72, 'assists': 4, 'steals': 8, 'blocks': 5, 'trueShooting': 38.2, 'rating': 65.3, 'gameScore': 10.299999999999994, 'points': {'total': 47, 'byPeriod': [18, 29], 'largestLead': 3, 'fastBreak': 10, 'inPaint': 18, 'offTurnovers': 8}, 'twoPointFieldGoals': {'made': 15, 'attempted': 40, 'pct': 37.5}, 'threePointFieldGoals': {'made': 1, 'attempted': 11, 'pct': 9.1}, 'freeThrows': {'made': 14, 'attempted': 24, 'pct': 58.3}, 'fieldGoals': {'made': 16, 'attempted': 51, 'pct': 31.4}, 'turnovers': {'total': 20, 'teamTotal': 1}, 'rebounds': {'offensive': 6, 'defensive': 23, 'total': 29}, 'fouls': {'total': 22, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 32.4, 'freeThrowRate': 47.1, 'turnoverRatio': 27.8, 'offensiveReboundPct': 20.7}}"
5904,2024,20232024,regular,,2023-11-06T17:30:00.000Z,False,282,Stephen F. Austin,UAC,,832,North American,,,False,True,False,STD,,40.0,85.5,"{'possessions': 85, 'assists': 23, 'steals': 14, 'blocks': 3, 'trueShooting': 61.3, 'rating': 112.9, 'gameScore': 86.6, 'points': {'total': 96, 'byPeriod': [54, 42], 'largestLead': 38, 'fastBreak': 23, 'inPaint': 54, 'offTurnovers': 37}, 'twoPointFieldGoals': {'made': 30, 'attempted': 48, 'pct': 62.5}, 'threePointFieldGoals': {'made': 7, 'attempted': 21, 'pct': 33.3}, 'freeThrows': {'made': 15, 'attempted': 21, 'pct': 71.4}, 'fieldGoals': {'made': 37, 'attempted': 69, 'pct': 53.6}, 'turnovers': {'total': 20, 'teamTotal': 0}, 'rebounds': {'offensive': 14, 'defensive': 31, 'total': 45}, 'fouls': {'total': 12, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 58.7, 'freeThrowRate': 30.4, 'turnoverRatio': 23.5, 'offensiveReboundPct': 31.1}}","{'possessions': 86, 'assists': 12, 'steals': 12, 'blocks': 2, 'trueShooting': 51.5, 'rating': 79.1, 'gameScore': 29.400000000000013, 'points': {'total': 68, 'byPeriod': [22, 46], 'largestLead': 0, 'fastBreak': 14, 'inPaint': 12, 'offTurnovers': 12}, 'twoPointFieldGoals': {'made': 8, 'attempted': 32, 'pct': 25}, 'threePointFieldGoals': {'made': 15, 'attempted': 30, 'pct': 50}, 'freeThrows': {'made': 7, 'attempted': 9, 'pct': 77.8}, 'fieldGoals': {'made': 23, 'attempted': 62, 'pct': 37.1}, 'turnovers': {'total': 27, 'teamTotal': 1}, 'rebounds': {'offensive': 5, 'defensive': 19, 'total': 24}, 'fouls': {'total': 19, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 49.2, 'freeThrowRate': 14.5, 'turnoverRatio': 31.4, 'offensiveReboundPct': 20.8}}"
5904,2024,20232024,regular,,2023-11-06T17:30:00.000Z,False,832,North American,,,282,Stephen F. Austin,UAC,,False,False,False,STD,,40.0,85.5,"{'possessions': 86, 'assists': 12, 'steals': 12, 'blocks': 2, 'trueShooting': 51.5, 'rating': 79.1, 'gameScore': 29.400000000000013, 'points': {'total': 68, 'byPeriod': [22, 46], 'largestLead': 0, 'fastBreak': 14, 'inPaint': 12, 'offTurnovers': 12}, 'twoPointFieldGoals': {'made': 8, 'attempted': 32, 'pct': 25}, 'threePointFieldGoals': {'made': 15, 'attempted': 30, 'pct': 50}, 'freeThrows': {'made': 7, 'attempted': 9, 'pct': 77.8}, 'fieldGoals': {'made': 23, 'attempted': 62, 'pct': 37.1}, 'turnovers': {'total': 27, 'teamTotal': 1}, 'rebounds': {'offensive': 5, 'defensive': 19, 'total': 24}, 'fouls': {'total': 19, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 49.2, 'freeThrowRate': 14.5, 'turnoverRatio': 31.4, 'offensiveReboundPct': 20.8}}","{'possessions': 85, 'assists': 23, 'steals': 14, 'blocks': 3, 'trueShooting': 61.3, 'rating': 112.9, 'gameScore': 86.6, 'points': {'total': 96, 'byPeriod': [54, 42], 'largestLead': 38, 'fastBreak': 23, 'inPaint': 54, 'offTurnovers': 37}, 'twoPointFieldGoals': {'made': 30, 'attempted': 48, 'pct': 62.5}, 'threePointFieldGoals': {'made': 7, 'attempted': 21, 'pct': 33.3}, 'freeThrows': {'made': 15, 'attempted': 21, 'pct': 71.4}, 'fieldGoals': {'made': 37, 'attempted': 69, 'pct': 53.6}, 'turnovers': {'total': 20, 'teamTotal': 0}, 'rebounds': {'offensive': 14, 'defensive': 31, 'total': 45}, 'fouls': {'total': 12, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 58.7, 'freeThrowRate': 30.4, 'turnoverRatio': 23.5, 'offensiveReboundPct': 31.1}}"
5905,2024,20232024,regular,,2023-11-06T18:00:00.000Z,False,232,Prairie View A&M,SWAC,,614,Kansas Christian,,,False,True,False,STD,,40.0,78.5,"{'possessions': 78, 'assists': 10, 'steals': 10, 'blocks': 2, 'trueShooting': 54.5, 'rating': 114.1, 'gameScore': 66.6, 'points': {'total': 89, 'byPeriod': [43, 46], 'largestLead': 26, 'fastBreak': 13, 'inPaint': 54, 'offTurnovers': 27}, 'twoPointFieldGoals': {'made': 30, 'attempted': 52, 'pct': 57.7}, 'threePointFieldGoals': {'made': 4, 'attempted': 20, 'pct': 20}, 'freeThrows': {'made': 17, 'attempted': 22, 'pct': 77.3}, 'fieldGoals': {'made': 34, 'attempted': 72, 'pct': 47.2}, 'turnovers': {'total': 15, 'teamTotal': 0}, 'rebounds': {'offensive': 15, 'defensive': 35, 'total': 50}, 'fouls': {'total': 20, 'technical': 1, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 50, 'freeThrowRate': 30.6, 'turnoverRatio': 19.2, 'offensiveReboundPct': 30}}","{'possessions': 79, 'assists': 4, 'steals': 6, 'blocks': 2, 'trueShooting': 48.3, 'rating': 83.5, 'gameScore': 28.200000000000003, 'points': {'total': 66, 'byPeriod': [33, 33], 'largestLead': 2, 'fastBreak': 12, 'inPaint': 28, 'offTurnovers': 14}, 'twoPointFieldGoals': {'made': 15, 'attempted': 39, 'pct': 38.5}, 'threePointFieldGoals': {'made': 5, 'attempted': 17, 'pct': 29.4}, 'freeThrows': {'made': 21, 'attempted': 28, 'pct': 75}, 'fieldGoals': {'made': 20, 'attempted': 56, 'pct': 35.7}, 'turnovers': {'total': 16, 'teamTotal': 1}, 'rebounds': {'offensive': 3, 'defensive': 21, 'total': 24}, 'fouls': {'total': 16, 'technical': 1, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 40.2, 'freeThrowRate': 50, 'turnoverRatio': 20.3, 'offensiveReboundPct': 12.5}}"
5905,2024,20232024,regular,,2023-11-06T18:00:00.000Z,False,614,Kansas Christian,,,232,Prairie View A&M,SWAC,,False,False,False,STD,,40.0,78.5,"{'possessions': 79, 'assists': 4, 'steals': 6, 'blocks': 2, 'trueShooting': 48.3, 'rating': 83.5, 'gameScore': 28.200000000000003, 'points': {'total': 66, 'byPeriod': [33, 33], 'largestLead': 2, 'fastBreak': 12, 'inPaint': 28, 'offTurnovers': 14}, 'twoPointFieldGoals': {'made': 15, 'attempted': 39, 'pct': 38.5}, 'threePointFieldGoals': {'made': 5, 'attempted': 17, 'pct': 29.4}, 'freeThrows': {'made': 21, 'attempted': 28, 'pct': 75}, 'fieldGoals': {'made': 20, 'attempted': 56, 'pct': 35.7}, 'turnovers': {'total': 16, 'teamTotal': 1}, 'rebounds': {'offensive': 3, 'defensive': 21, 'total': 24}, 'fouls': {'total': 16, 'technical': 1, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 40.2, 'freeThrowRate': 50, 'turnoverRatio': 20.3, 'offensiveReboundPct': 12.5}}","{'possessions': 78, 'assists': 10, 'steals': 10, 'blocks': 2, 'trueShooting': 54.5, 'rating': 114.1, 'gameScore': 66.6, 'points': {'total': 89, 'byPeriod': [43, 46], 'largestLead': 26, 'fastBreak': 13, 'inPaint': 54, 'offTurnovers': 27}, 'twoPointFieldGoals': {'made': 30, 'attempted': 52, 'pct': 57.7}, 'threePointFieldGoals': {'made': 4, 'attempted': 20, 'pct': 20}, 'freeThrows': {'made': 17, 'attempted': 22, 'pct': 77.3}, 'fieldGoals': {'made': 34, 'attempted': 72, 'pct': 47.2}, 'turnovers': {'total': 15, 'teamTotal': 0}, 'rebounds': {'offensive': 15, 'defensive': 35, 'total': 50}, 'fouls': {'total': 20, 'technical': 1, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 50, 'freeThrowRate': 30.6, 'turnoverRatio': 19.2, 'offensiveReboundPct': 30}}"
5906,2024,20232024,regular,,2023-11-06T21:30:00.000Z,False,223,Oregon,Pac-12,,98,Georgia,SEC,,True,True,False,STD,Hall of Fame Series - Las Vegas,40.0,83.5,"{'possessions': 83, 'assists': 13, 'steals': 9, 'blocks': 2, 'trueShooting': 47.8, 'rating': 98.8, 'gameScore': 59.900000000000006, 'points': {'total': 82, 'byPeriod': [40, 42], 'largestLead': 20, 'fastBreak': 4, 'inPaint': 48, 'offTurnovers': 28}, 'twoPointFieldGoals': {'made': 25, 'attempted': 58, 'pct': 43.1}, 'threePointFieldGoals': {'made': 6, 'attempted': 15, 'pct': 40}, 'freeThrows': {'made': 14, 'attempted': 29, 'pct': 48.3}, 'fieldGoals': {'made': 31, 'attempted': 73, 'pct': 42.5}, 'turnovers': {'total': 15, 'teamTotal': 0}, 'rebounds': {'offensive': 21, 'defensive': 42, 'total': 63}, 'fouls': {'total': 23, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 46.6, 'freeThrowRate': 39.7, 'turnoverRatio': 18.1, 'offensiveReboundPct': 33.3}}","{'possessions': 84, 'assists': 11, 'steals': 8, 'blocks': 4, 'trueShooting': 45.4, 'rating': 84.5, 'gameScore': 37.9, 'points': {'total': 71, 'byPeriod': [30, 41], 'largestLead': 1, 'fastBreak': 13, 'inPaint': 20, 'offTurnovers': 20}, 'twoPointFieldGoals': {'made': 12, 'attempted': 35, 'pct': 34.3}, 'threePointFieldGoals': {'made': 10, 'attempted': 30, 'pct': 33.3}, 'freeThrows': {'made': 17, 'attempted': 30, 'pct': 56.7}, 'fieldGoals': {'made': 22, 'attempted': 65, 'pct': 33.8}, 'turnovers': {'total': 16, 'teamTotal': 0}, 'rebounds': {'offensive': 11, 'defensive': 30, 'total': 41}, 'fouls': {'total': 26, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 41.5, 'freeThrowRate': 46.2, 'turnoverRatio': 19, 'offensiveReboundPct': 26.8}}"
5906,2024,20232024,regular,,2023-11-06T21:30:00.000Z,False,98,Georgia,SEC,,223,Oregon,Pac-12,,True,False,False,STD,Hall of Fame Series - Las Vegas,40.0,83.5,"{'possessions': 84, 'assists': 11, 'steals': 8, 'blocks': 4, 'trueShooting': 45.4, 'rating': 84.5, 'gameScore': 37.9, 'points': {'total': 71, 'byPeriod': [30, 41], 'largestLead': 1, 'fastBreak': 13, 'inPaint': 20, 'offTurnovers': 20}, 'twoPointFieldGoals': {'made': 12, 'attempted': 35, 'pct': 34.3}, 'threePointFieldGoals': {'made': 10, 'attempted': 30, 'pct': 33.3}, 'freeThrows': {'made': 17, 'attempted': 30, 'pct': 56.7}, 'fieldGoals': {'made': 22, 'attempted': 65, 'pct': 33.8}, 'turnovers': {'total': 16, 'teamTotal': 0}, 'rebounds': {'offensive': 11, 'defensive': 30, 'total': 41}, 'fouls': {'total': 26, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 41.5, 'freeThrowRate': 46.2, 'turnoverRatio': 19, 'offensiveReboundPct': 26.8}}","{'possessions': 83, 'assists': 13, 'steals': 9, 'blocks': 2, 'trueShooting': 47.8, 'rating': 98.8, 'gameScore': 59.900000000000006, 'points': {'total': 82, 'byPeriod': [40, 42], 'largestLead': 20, 'fastBreak': 4, 'inPaint': 48, 'offTurnovers': 28}, 'twoPointFieldGoals': {'made': 25, 'attempted': 58, 'pct': 43.1}, 'threePointFieldGoals': {'made': 6, 'attempted': 15, 'pct': 40}, 'freeThrows': {'made': 14, 'attempted': 29, 'pct': 48.3}, 'fieldGoals': {'made': 31, 'attempted': 73, 'pct': 42.5}, 'turnovers': {'total': 15, 'teamTotal': 0}, 'rebounds': {'offensive': 21, 'defensive': 42, 'total': 63}, 'fouls': {'total': 23, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 46.6, 'freeThrowRate': 39.7, 'turnoverRatio': 18.1, 'offensiveReboundPct': 33.3}}"
5907,2024,20232024,regular,,2023-11-06T22:30:00.000Z,False,224,Oregon State,Pac-12,,833,Linfield College,,,False,True,False,STD,,40.0,66.5,"{'possessions': 67, 'assists': 13, 'steals': 6, 'blocks': 1, 'trueShooting': 57.6, 'rating': 122.4, 'gameScore': 67.3, 'points': {'total': 82, 'byPeriod': [39, 43], 'largestLead': 38, 'fastBreak': 11, 'inPaint': 30, 'offTurnovers': 25}, 'twoPointFieldGoals': {'made': 21, 'attempted': 35, 'pct': 60}, 'threePointFieldGoals': {'made': 6, 'attempted': 23, 'pct': 26.1}, 'freeThrows': {'made': 22, 'attempted': 30, 'pct': 73.3}, 'fieldGoals': {'made': 27, 'attempted': 58, 'pct': 46.6}, 'turnovers': {'total': 9, 'teamTotal': 0}, 'rebounds': {'offensive': 13, 'defensive': 28, 'total': 41}, 'fouls': {'total': 15, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 51.7, 'freeThrowRate': 51.7, 'turnoverRatio': 13.4, 'offensiveReboundPct': 31.7}}","{'possessions': 66, 'assists': 11, 'steals': 5, 'blocks': 2, 'trueShooting': 39.2, 'rating': 69.7, 'gameScore': 12.399999999999999, 'points': {'total': 46, 'byPeriod': [22, 24], 'largestLead': 0, 'fastBreak': 5, 'inPaint': 12, 'offTurnovers': 7}, 'twoPointFieldGoals': {'made': 8, 'attempted': 29, 'pct': 27.6}, 'threePointFieldGoals': {'made': 7, 'attempted': 24, 'pct': 29.2}, 'freeThrows': {'made': 9, 'attempted': 13, 'pct': 69.2}, 'fieldGoals': {'made': 15, 'attempted': 53, 'pct': 28.3}, 'turnovers': {'total': 18, 'teamTotal': 4}, 'rebounds': {'offensive': 10, 'defensive': 20, 'total': 30}, 'fouls': {'total': 25, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 34.9, 'freeThrowRate': 24.5, 'turnoverRatio': 27.3, 'offensiveReboundPct': 33.3}}"
