Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_School,Overall_G,Overall_W,Overall_L,Overall_W-L%,Overall_SRS,Overall_SOS,Unnamed: 8_level_0_Unnamed: 8_level_1,Conf._W,Conf._L,Unnamed: 11_level_0_Unnamed: 11_level_1,Home_W,Home_L,Unnamed: 14_level_0_Unnamed: 14_level_1,Away_W,Away_L,Unnamed: 17_level_0_Unnamed: 17_level_1,Points_Tm.,Points_Opp.,Unnamed: 20_level_0_Unnamed: 20_level_1,Totals_MP,Totals_FG,Totals_FGA,Totals_FG%,Totals_3P,Totals_3PA,Totals_3P%,Totals_FT,Totals_FTA,Totals_FT%,Totals_ORB,Totals_TRB,Totals_AST,Totals_STL,Totals_BLK,Totals_TOV,Totals_PF
1,Abilene Christian,33,14,19,.424,-7.38,-1.45,,5,13,,9,5,,3,12,,2321,2389,,1325,805,1840,.438,189,603,.313,522,741,.704,369,1047,440,321,91,472,691
2,Air Force,32,3,29,.094,-13.75,4.60,,0,20,,3,15,,0,12,,1969,2556,,1280,696,1637,.425,209,684,.306,368,574,.641,225,931,389,180,76,472,570
3,Akron NCAA,35,29,6,.829,8.48,-2.91,,17,1,,15,0,,9,3,,3075,2590,,1400,1115,2227,.501,376,998,.377,469,621,.755,397,1319,639,261,109,381,549
4,Alabama NCAA,35,25,10,.714,23.03,14.57,,13,5,,12,3,,7,3,,3192,2896,,1410,1052,2312,.455,450,1256,.358,638,832,.767,437,1425,571,225,174,343,646
5,Alabama A&M,33,18,15,.545,-13.31,-10.81,,10,8,,12,5,,4,8,,2378,2393,,1325,784,1798,.436,214,616,.347,596,808,.738,311,1126,387,198,93,376,607
6,Alabama State,32,10,22,.313,-14.49,-8.43,,7,11,,5,4,,4,15,,2341,2473,,1280,814,1952,.417,238,746,.319,475,684,.694,400,1159,396,262,120,418,611
7,Albany (NY),32,11,21,.344,-14.11,-8.29,,7,9,,6,5,,4,13,,2303,2332,,1280,883,1886,.468,235,702,.335,302,457,.661,360,1100,445,221,128,389,538
8,Alcorn State,32,9,23,.281,-20.14,-6.86,,7,11,,5,4,,2,18,,2141,2566,,1282,764,1817,.420,204,612,.333,409,578,.708,301,965,356,246,109,436,565
9,American,32,16,16,.500,-7.25,-6.55,,9,9,,11,6,,5,10,,2387,2283,,1280,843,1876,.449,288,864,.333,413,550,.751,309,1016,428,247,48,338,594
10,Appalachian State,32,19,13,.594,-3.97,-5.87,,11,7,,11,4,,7,8,,2305,2114,,1285,800,1818,.440,254,837,.303,451,703,.642,391,1251,388,157,118,316,500
11,Arizona NCAA,39,36,3,.923,29.78,13.01,,16,2,,16,1,,9,1,,3360,2706,,1565,1183,2372,.499,229,625,.366,765,1042,.734,506,1663,639,287,165,421,619
12,Arizona State,33,17,16,.515,10.41,12.41,,7,11,,10,5,,2,9,,2519,2585,,1320,853,1909,.447,245,733,.334,568,754,.753,337,1096,452,231,151,398,567
13,Arkansas NCAA,37,28,9,.757,21.48,12.32,,13,5,,17,1,,5,5,,3337,2998,,1500,1196,2387,.501,301,788,.382,644,857,.751,404,1333,635,272,191,332,618
14,Arkansas State,32,20,12,.625,-0.93,-4.67,,11,7,,11,4,,9,7,,2655,2471,,1295,897,1988,.451,298,896,.333,563,768,.733,456,1322,504,239,83,456,596
15,Arkansas-Pine Bluff,32,13,19,.406,-15.11,-7.25,,10,8,,7,4,,6,14,,2472,2593,,1285,855,1896,.451,242,706,.343,520,689,.755,329,1076,497,229,93,430,623
16,Army,32,11,21,.344,-15.65,-7.51,,5,13,,6,10,,5,10,,2309,2471,,1305,806,1957,.412,339,1045,.324,358,501,.715,376,1135,481,187,51,381,600
17,Auburn,38,22,16,.579,16.63,12.39,,7,11,,14,4,,2,8,,3154,2993,,1535,1052,2284,.461,316,918,.344,734,987,.744,496,1381,501,284,156,386,646
18,Austin Peay,31,22,9,.710,-2.53,-6.98,,15,3,,12,1,,9,7,,2530,2269,,1240,874,1867,.468,260,725,.359,522,703,.743,331,1100,502,286,75,336,524
19,Ball State,31,12,19,.387,-9.90,-4.59,,7,11,,7,7,,4,11,,2093,2154,,1250,741,1765,.420,218,689,.316,393,566,.694,301,1001,393,235,83,330,492
20,Baylor,34,17,17,.500,14.99,11.47,,6,12,,11,6,,3,7,,2778,2599,,1360,989,2078,.476,275,811,.339,523,712,.735,428,1252,523,220,137,386,550
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
21,Bellarmine,32,13,19,.406,-9.36,-5.00,,7,11,,9,5,,2,13,,2561,2614,,1290,907,1741,.521,270,706,.382,477,602,.792,206,892,484,195,55,328,532
22,Belmont,32,26,6,.813,8.57,-0.79,,16,4,,13,2,,11,3,,2684,2347,,1290,963,1874,.514,349,864,.404,409,597,.685,292,1151,595,196,110,402,564
23,Bethune-Cookman,32,17,15,.531,-9.70,-6.76,,14,4,,10,1,,7,11,,2412,2462,,1295,855,1834,.466,182,546,.333,520,754,.690,333,1145,437,225,147,442,580
24,Binghamton,31,8,23,.258,-20.91,-11.01,,4,12,,7,8,,1,14,,2105,2321,,1265,725,1580,.459,164,502,.327,491,659,.745,207,969,361,160,92,382,519
25,Boise State,32,20,12,.625,11.98,7.78,,12,8,,12,4,,6,5,,2502,2351,,1310,821,1814,.453,266,777,.342,594,756,.786,344,1154,415,147,69,373,544
26,Boston College,31,11,20,.355,2.92,6.17,,4,14,,10,7,,1,10,,2090,2191,,1260,740,1815,.408,226,769,.294,384,588,.653,332,1135,351,150,128,322,520
27,Boston University,34,17,17,.500,-8.39,-8.54,,10,8,,10,5,,6,12,,2566,2514,,1395,911,1842,.495,319,811,.393,423,580,.729,282,1097,486,163,111,393,552
28,Bowling Green,32,18,14,.563,0.20,-3.83,,9,9,,10,7,,6,6,,2602,2290,,1285,921,1935,.476,227,658,.345,533,730,.730,326,1153,454,312,114,368,568
29,Bradley,34,21,13,.618,3.20,0.44,,13,7,,14,3,,4,7,,2626,2502,,1405,892,2033,.439,296,827,.358,546,745,.733,344,1163,454,265,106,330,633
30,Brigham Young NCAA,35,23,12,.657,20.39,12.27,,9,9,,12,3,,3,6,,2924,2640,,1405,1034,2173,.476,298,864,.345,558,747,.747,429,1333,465,251,155,376,555
31,Brown,27,9,18,.333,-10.16,-4.92,,3,11,,6,8,,3,10,,1900,1892,,1100,706,1591,.444,187,589,.317,301,441,.683,291,946,420,216,103,347,483
32,Bryant,31,9,22,.290,-18.35,-8.08,,5,11,,8,5,,1,17,,2010,2246,,1255,690,1700,.406,247,812,.304,383,513,.747,305,1032,376,183,130,407,507
33,Bucknell,33,10,23,.303,-14.66,-5.72,,6,12,,6,8,,4,12,,2223,2518,,1336,778,1855,.419,243,793,.306,424,552,.768,303,1037,420,238,59,424,586
34,Buffalo,32,17,15,.531,-3.77,-4.24,,7,11,,7,8,,8,6,,2497,2438,,1290,838,1773,.473,308,805,.383,513,699,.734,289,1013,465,242,87,349,516
35,Butler,32,16,16,.500,10.28,8.44,,7,13,,10,7,,3,8,,2540,2481,,1300,869,1923,.452,220,672,.327,582,809,.719,396,1209,497,208,102,362,490
36,Cal Poly,33,14,19,.424,-4.52,-0.55,,10,10,,8,6,,6,11,,2710,2805,,1325,892,2062,.433,358,1080,.331,568,722,.787,373,1261,451,217,73,501,638
37,Cal State Bakersfield,32,8,24,.250,-13.06,-1.63,,2,18,,6,11,,2,13,,2339,2629,,1280,795,1891,.420,158,545,.290,591,804,.735,366,1114,355,244,157,434,642
38,Cal State Fullerton,34,18,16,.529,-2.18,-0.31,,12,8,,10,4,,6,10,,2822,2778,,1360,962,2133,.451,315,918,.343,583,813,.717,327,1202,548,277,97,391,641
39,Cal State Northridge,34,20,14,.588,-2.34,-1.65,,12,8,,12,3,,7,8,,2767,2713,,1365,1012,2228,.454,243,753,.323,500,750,.667,443,1407,574,234,98,447,616
40,California,34,22,12,.647,11.15,6.82,,9,9,,17,5,,4,6,,2658,2493,,1370,889,1995,.446,314,856,.367,566,726,.780,312,1179,473,206,103,354,630
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
41,California Baptist NCAA,34,25,9,.735,2.56,-2.50,,13,5,,15,0,,7,7,,2470,2298,,1375,868,2021,.429,216,646,.334,518,726,.713,470,1360,346,187,97,416,629
42,Campbell,34,16,18,.471,-3.20,-0.45,,8,10,,10,4,,3,13,,2691,2639,,1360,914,2010,.455,244,740,.330,619,853,.726,425,1216,426,228,62,420,601
43,Canisius,31,10,21,.323,-17.00,-7.87,,5,15,,7,8,,3,13,,1951,2184,,1245,676,1686,.401,222,670,.331,377,525,.718,320,1037,372,153,80,393,543
44,Central Arkansas,34,22,12,.647,-1.72,-5.03,,15,3,,14,1,,6,10,,2749,2541,,1385,967,2115,.457,364,1040,.350,451,636,.709,368,1220,553,300,63,369,557
45,Central Connecticut State,30,18,12,.600,-11.55,-10.16,,12,6,,10,4,,8,8,,2215,2127,,1205,803,1704,.471,219,595,.368,390,507,.769,272,1031,414,168,121,317,411
46,Central Michigan,31,10,21,.323,-8.76,-2.76,,6,12,,8,5,,1,15,,2275,2384,,1240,837,1791,.467,201,607,.331,400,572,.699,311,1012,469,205,130,392,547
47,Charleston Southern,32,15,17,.469,-6.83,-6.80,,6,10,,10,4,,5,11,,2670,2563,,1310,942,2060,.457,383,1060,.361,403,623,.647,380,1345,536,155,156,446,694
